,WANN,KLIEP,KMM,DANN,ADDA,DeepCORAL,MDD,TrAdaBoostR2
0,0.08436138992330831,0.061941619101604076,0.06672586324636906,0.08848375043531786,0.045024692787332385,0.06723132717682502,0.06911734618017835,0.06268243571306725
1,0.046915197633590665,0.04179100810727812,0.06937253452137063,0.050067294116985496,0.04476416329388461,0.04310046230436929,0.04504229361204941,0.0499016333334533
2,0.03427956180220283,0.044642508777498306,0.02727575690314439,0.03326786066920789,0.11557539356396444,0.049271608530055536,0.044624407261684006,0.04169271906958615
3,0.040405577781799096,0.03775015898509839,0.0512848067193166,0.03354610094128665,0.03405595540898312,0.05017337301673052,0.03957775024250619,0.047994772937605304
4,0.054421131981179566,0.040018548424617814,0.042847240069108936,0.1134469895561083,0.03097243997992852,0.055314546356622495,0.04832384663277359,0.05367931738335762
5,0.027565145156524327,0.03722836540323175,0.028199747962427798,0.3357843410033658,0.16262891741372368,0.03241172485072477,0.032520088969355335,0.02843183438892705
6,0.039137540199270654,0.026856225051063023,0.034245878390357164,0.05783541186589879,0.04778952873667138,0.05376145784226734,0.03437499772617339,0.041067966489634865
7,0.06299837251118126,0.06851554935329589,0.05869427289331167,0.10519589672378006,0.08153891748076457,0.07694576410503512,0.06675903625491744,0.06536336311886985
8,0.06615737371280145,0.033668346546204715,0.0954889553593698,0.02617134976447111,0.02558215155255027,0.06425459606381602,0.049940551655906704,0.07443925464238972
9,0.0299943222114192,0.027351126506448793,0.0350017417782786,0.04979066614542058,0.02641769218538065,0.05862219554670211,0.04775472049157566,0.04272382106841328
10,0.0712116111588473,0.06562945996594156,0.06802909796136022,0.12354082771918366,0.18769486191559082,0.06940174464298009,0.07619352193620448,0.06642364029279346
11,0.03948497698471406,0.042875663337261276,0.041038776908259945,0.047161319988229804,0.0322182493177599,0.05071708874209366,0.05782156121268357,0.04664597026058498
